mesh,framework,method,omp_threads,status,correct_rate_strict,found_rate,wall_seconds,throughput_Mqps,max_rss_mb,mean_pit_tests,fill_ratio,n_octree_cells,box_pad,bvh_ms,sim_ms,n_out_of_domain
FinalFuelPinTet1820,SCONE,patchMulti,1,SEGV,,,0.138334,,47.96484375,,,,5.0,,,
FinalFuelPinTet1820,SCONE,patchMulti,8,SEGV,,,0.139826,,47.2890625,,,,5.0,,,
FinalFuelPinTet1820,SCONE,patchSingle,1,OK,,,295.669969,,15833.0859375,,,,5.0,,,
FinalFuelPinTet1820,SCONE,patchSingle,8,OK,,,294.191018,,15832.51171875,,,,5.0,,,
FinalFuelPinTet2856,SCONE,none,1,OK,,,152.59885,,21.921875,,,,5.0,,,
FinalFuelPinTet2856,SCONE,none,8,OK,,,23.68177,,22.03515625,,,,5.0,,,
FinalFuelPinTet2856,SCONE,octree,1,OK,,,3.709409,,48.8359375,,,,5.0,,,
FinalFuelPinTet2856,SCONE,octree,8,OK,,,2.171321,,48.5234375,,,,5.0,,,
FinalFuelPinTet2856,SCONE,patchMulti,1,SEGV,,,0.330947,,90.27734375,,,,5.0,,,
FinalFuelPinTet2856,SCONE,patchMulti,8,SEGV,,,0.330493,,89.80078125,,,,5.0,,,
FinalFuelPinTet2856,SCONE,patchSingle,1,FAIL(ec=1),,,0.041607,,29.77734375,,,,5.0,,,
FinalFuelPinTet2856,SCONE,patchSingle,8,FAIL(ec=1),,,0.041029,,30.05078125,,,,5.0,,,
FinalFuelPinTet298,SCONE,none,1,OK,,,10.186992,,7.625,,,,5.0,,,
FinalFuelPinTet298,SCONE,none,8,OK,,,1.529495,,7.4453125,,,,5.0,,,
FinalFuelPinTet298,SCONE,octree,1,OK,,,0.759266,,11.25390625,,,,5.0,,,
FinalFuelPinTet298,SCONE,octree,8,OK,,,0.240663,,10.6328125,,,,5.0,,,
FinalFuelPinTet298,SCONE,patchMulti,1,SEGV,,,0.035011,,20.06640625,,,,5.0,,,
FinalFuelPinTet298,SCONE,patchMulti,8,SEGV,,,0.035509,,20.0390625,,,,5.0,,,
FinalFuelPinTet298,SCONE,patchSingle,1,OK,,,29.194817,,2079.45703125,,,,5.0,,,
FinalFuelPinTet298,SCONE,patchSingle,8,OK,,,28.622238,,2078.81640625,,,,5.0,,,
FinalFuelPinTet63,SCONE,none,1,OK,,,2.14653,,5.8359375,,,,5.0,,,
FinalFuelPinTet63,SCONE,none,8,OK,,,0.34379,,6.26171875,,,,5.0,,,
FinalFuelPinTet63,SCONE,octree,1,OK,,,0.509575,,7.37109375,,,,5.0,,,
FinalFuelPinTet63,SCONE,octree,8,OK,,,0.138263,,7.40625,,,,5.0,,,
FinalFuelPinTet63,SCONE,patchMulti,1,SEGV,,,3.126134,,716.41796875,,,,5.0,,,
FinalFuelPinTet63,SCONE,patchMulti,8,SEGV,,,3.12645,,715.37890625,,,,5.0,,,
FinalFuelPinTet63,SCONE,patchSingle,1,FAIL(ec=1),,,0.014198,,13.3359375,,,,5.0,,,
FinalFuelPinTet63,SCONE,patchSingle,8,FAIL(ec=1),,,0.014719,,13.69921875,,,,5.0,,,
StanfordBunny_LowPoly,SCONE,none,1,OK,,,5.017962,,8.2109375,,,,5.0,,,
StanfordBunny_LowPoly,SCONE,none,8,OK,,,0.740895,,8.09375,,,,5.0,,,
StanfordBunny_LowPoly,SCONE,octree,1,OK,,,0.436387,,13.23046875,,,,5.0,,,
StanfordBunny_LowPoly,SCONE,octree,8,OK,,,0.247577,,13.18359375,,,,5.0,,,
StanfordBunny_LowPoly,SCONE,patchMulti,1,FAIL(ec=1),,,0.01718,,15.84765625,,,,5.0,,,
StanfordBunny_LowPoly,SCONE,patchMulti,8,FAIL(ec=1),,,0.018135,,15.73828125,,,,5.0,,,
StanfordBunny_LowPoly,SCONE,patchSingle,1,FAIL(ec=2),,,0.017292,,15.5,,,,5.0,,,
StanfordBunny_LowPoly,SCONE,patchSingle,8,FAIL(ec=2),,,0.018198,,14.98046875,,,,5.0,,,
FSW_paper,SCONE,none,1,FAIL(ec=1),,,43.338027,,17277.015625,,,,5.0,,,
FSW_paper,SCONE,none,8,FAIL(ec=1),,,44.789225,,17276.5703125,,,,5.0,,,
FSW_paper,SCONE,octree,1,FAIL(ec=1),,,16314.67088,,19084.38671875,,,,5.0,,,
FSW_paper,SCONE,octree,8,FAIL(ec=1),,,16315.865632,,19084.32421875,,,,5.0,,,
FSW_paper,SCONE,patchMulti,1,FAIL(ec=1),,,34.480257,,17678.0390625,,,,5.0,,,
FSW_paper,SCONE,patchMulti,8,FAIL(ec=1),,,34.767282,,17678.53125,,,,5.0,,,
FSW_paper,SCONE,patchSingle,1,FAIL(ec=1),,,34.165062,,17284.62109375,,,,5.0,,,
FSW_paper,SCONE,patchSingle,8,FAIL(ec=1),,,34.178937,,17284.84375,,,,5.0,,,
FSW_paper,RTXAdvect,RTX_BVH,1,OK,,0.990544,7.070514,6.666666666666667,,,,,,2508.172533,1069.502729,9456
StanfordBunny_LowPoly,RTXAdvect,RTX_BVH,1,OK,,0.999999,2.301724,100.0,,,,,,135.533276,896.027865,1
FinalFuelPinPoly1560,RTXAdvect,RTX_BVH,1,OK,,1.0,1.614074,100.0,405.796875,,,,,166.490111,706.004523,0
FinalFuelPinPoly264,RTXAdvect,RTX_BVH,1,OK,,1.0,1.58289,100.0,405.06640625,,,,,158.732918,697.311493,0
FinalFuelPinPoly940,RTXAdvect,RTX_BVH,1,OK,,1.0,1.610711,100.0,405.42578125,,,,,162.188726,703.429291,0
FinalFuelPinTet137,RTXAdvect,RTX_BVH,1,OK,,1.0,1.579372,100.0,405.26171875,,,,,158.850808,691.991648,0
FinalFuelPinTet1820,RTXAdvect,RTX_BVH,1,OK,,1.0,1.587415,100.0,404.42578125,,,,,161.039087,696.618076,0
FinalFuelPinTet2856,RTXAdvect,RTX_BVH,1,OK,,1.0,1.602597,100.0,405.078125,,,,,163.578817,702.838947,0
FinalFuelPinTet298,RTXAdvect,RTX_BVH,1,OK,,1.0,1.60236,100.0,405.171875,,,,,159.803306,706.545947,0
FinalFuelPinTet63,RTXAdvect,RTX_BVH,1,OK,,1.0,1.587626,100.0,405.42578125,,,,,156.788563,696.752948,0
